Sl no.,GSTIN/UIN of Customer,Name of the Customer,Invoice No.,Is Memo,Invoice Date,Invoice Val,HSN,Product Name,Taxable Val,SGST/UTGST Rate,SGST/UTGST(Rs), CGST Rate,CGST(Rs),IGST Rate,IGST(Rs),CESS Rate,CESS(Rs),ADDITIONAL CESS Rate,ADDITIONAL CESS(Rs),Pos(State Code),UOM,QTY,RATE,Payment Mode
34,,,4122010482,0,01/07/2022,2878.00,0406,Amul Processed Cheese - Block 500 Gm Carton,236.62,6.0%,14.19,6.0%,14.19,-,-,-,-,-,-,27,PC,1,265.0,Cash
35,,,4122010482,0,01/07/2022,2878.00,1101,24Mantra Wholewheat Atta 5Kg,295.24,2.5%,7.38,2.5%,7.38,-,-,-,-,-,-,27,PC,1,310.0,Cash
36,,,4122010482,0,01/07/2022,2878.00,,OmaniDates,180.00,0.0%,0.00,0.0%,0.00,-,-,-,-,-,-,27,PC,1,180.0,Cash
37,,,4122010482,0,01/07/2022,2878.00,,Theatre Piri Piri & Lime 64 Gm Popcorn,44.66,6.0%,2.67,6.0%,2.67,-,-,-,-,-,-,27,PC,1,50.0,Cash
38,,,4122010482,0,01/07/2022,2878.00,,The Theatre Peri peri Chips,44.66,6.0%,2.67,6.0%,2.67,-,-,-,-,-,-,27,PC,1,50.0,Cash
39,,,4122010483,0,01/07/2022,220.00,1806,Jb Choc Coin 68 Gm Plpch Gold [Mouldd],93.24,9.0%,8.38,9.0%,8.38,-,-,-,-,-,-,27,PC,1,110.0,Cash
40,,,4122010483,0,01/07/2022,220.00,1704,Choc Coin Milk Flavoured Candy 56 Gm Pouch,93.24,9.0%,8.38,9.0%,8.38,-,-,-,-,-,-,27,PC,1,110.0,Cash
41,,,4122010484,0,01/07/2022,550.00,2101,DAVIDOFF Coffee Espresso 57 100G,466.12,9.0%,41.94,9.0%,41.94,-,-,-,-,-,-,27,PC,1,550.0,Cash
42,,,4122010485,0,01/07/2022,240.00,,Skippi Ice Pops,240.00,0.0%,0.00,0.0%,0.00,-,-,-,-,-,-,27,PC,1,240.0,Cash
43,,,4122010486,0,01/07/2022,1084.00,,Nutella & Go,225.00,0.0%,0.00,0.0%,0.00,-,-,-,-,-,-,27,PC,1,225.0,Cash
44,,,4122010486,0,01/07/2022,1084.00,,Frubee Essencia Kala Kharik Pwder 250 Gm,130.00,0.0%,0.00,0.0%,0.00,-,-,-,-,-,-,27,PC,1,130.0,Cash
45,,,4122010486,0,01/07/2022,1084.00,0802,Frubee Almond 100gm,120.54,6.0%,7.23,6.0%,7.23,-,-,-,-,-,-,27,PC,1,135.0,Cash
46,,,4122010486,0,01/07/2022,1084.00,0801,Frubee Golden Raisins 250 gm,147.62,2.5%,3.69,2.5%,3.69,-,-,-,-,-,-,27,PC,1,155.0,Cash
47,,,4122010486,0,01/07/2022,1084.00,,Maggi Veg Cubes 20 G,50.00,0.0%,0.00,0.0%,0.00,-,-,-,-,-,-,27,PC,2,25.0,Cash
48,,,4122010486,0,01/07/2022,1084.00,2106,Weikfield Custard Powder Mango75 Gm,38.14,9.0%,3.43,9.0%,3.43,-,-,-,-,-,-,27,PC,1,45.0,Cash
49,,,4122010486,0,01/07/2022,1084.00,2007, Cremica Premium Jam Mixed Fruit 225Gm,71.44,6.0%,4.28,6.0%,4.28,-,-,-,-,-,-,27,PC,1,80.0,Cash
50,,,4122010486,0,01/07/2022,1084.00,,PB Orange 1 Ltr,98.22,6.0%,5.89,6.0%,5.89,-,-,-,-,-,-,27,PC,1,110.0,Cash
51,,,4122010486,0,01/07/2022,1084.00,,Veda Makhana,154.00,0.0%,0.00,0.0%,0.00,-,-,-,-,-,-,27,PC,1,154.0,Cash
52,,,4122010487,0,01/07/2022,1787.50,,kerla tapicoa,65.00,0.0%,0.00,0.0%,0.00,-,-,-,-,-,-,27,PC,1,65.0,Cash
