Sl no.,GSTIN/UIN of Customer,Name of the Customer,Invoice No.,Is Memo,Invoice Date,Invoice Val,HSN,Product Name,Taxable Val,SGST/UTGST Rate,SGST/UTGST(Rs), CGST Rate,CGST(Rs),IGST Rate,IGST(Rs),CESS Rate,CESS(Rs),ADDITIONAL CESS Rate,ADDITIONAL CESS(Rs),Pos(State Code),UOM,QTY,RATE,Payment Mode
1250,,,4122010827,0,03/07/2022,1136,,Pintola Cashew Butter,356.26,6.0%,21.37,6.0%,21.37,-,-,-,-,-,-,27,PC,1,399.0,Cash
1251,,,4122010828,0,03/07/2022,30,,Carry Bag Big,30,0.0%,0,0.0%,0,-,-,-,-,-,-,27,PC,1,30.0,Cash
1252,,,4122010829,0,03/07/2022,249,,combo pack,54,0.0%,0,0.0%,0,-,-,-,-,-,-,27,PC,1,54.0,Cash
1253,,,4122010829,0,03/07/2022,249,,Harima Whipping Cream Powder,55.1,9.0%,4.95,9.0%,4.95,-,-,-,-,-,-,27,PC,1,65.0,Cash
1254,,,4122010829,0,03/07/2022,249,,smit & jones,60,0.0%,0,0.0%,0,-,-,-,-,-,-,27,PC,3,20.0,Cash
1255,,,4122010829,0,03/07/2022,249,,Cremica Tandoori spred,70,0.0%,0,0.0%,0,-,-,-,-,-,-,27,PC,1,70.0,Cash
1256,,,4122010830,0,03/07/2022,130,0906,Frubee Cinnamon,57.16,2.5%,1.42,2.5%,1.42,-,-,-,-,-,-,27,PC,1,60.0,Cash
1257,,,4122010830,0,03/07/2022,130,1702,Harima Palm Candy,66.68,2.5%,1.66,2.5%,1.66,-,-,-,-,-,-,27,PC,1,70.0,Cash
1258,,,4122010831,0,03/07/2022,459,,Skittal ,80,0.0%,0,0.0%,0,-,-,-,-,-,-,27,PC,1,80.0,Cash
1259,,,4122010831,0,03/07/2022,459,,bonny fruit,180,0.0%,0,0.0%,0,-,-,-,-,-,-,27,PC,1,180.0,Cash
1260,,,4122010831,0,03/07/2022,459,,Oreo,199,0.0%,0,0.0%,0,-,-,-,-,-,-,27,PC,1,199.0,Cash
1261,,,4122010832,0,03/07/2022,2248,,Carry Bag,30,0.0%,0,0.0%,0,-,-,-,-,-,-,27,PC,1,30.0,Cash
1262,,,4122010832,0,03/07/2022,2248,1902,Samyang Raman Kimchi Noodle 120 gm,98.22,6.0%,5.89,6.0%,5.89,-,-,-,-,-,-,27,PC,1,110.0,Cash
1263,,,4122010832,0,03/07/2022,2248,,Kerala Barbecue Banana Chips 250 Gm,157.16,2.5%,3.92,2.5%,3.92,-,-,-,-,-,-,27,PC,1,165.0,Cash
1264,,,4122010832,0,03/07/2022,2248,,nissin,49,0.0%,0,0.0%,0,-,-,-,-,-,-,27,PC,1,49.0,Cash
1265,,,4122010832,0,03/07/2022,2248,,Pocky,110,0.0%,0,0.0%,0,-,-,-,-,-,-,27,PC,1,110.0,Cash
1266,,,4122010832,0,03/07/2022,2248,,Pocky,110,0.0%,0,0.0%,0,-,-,-,-,-,-,27,PC,1,110.0,Cash
1267,,,4122010832,0,03/07/2022,2248,1902,Japanese Choice Ramen Noodles 250 gm,263.4,6.0%,15.8,6.0%,15.8,-,-,-,-,-,-,27,PC,1,295.0,Cash
1268,,,4122010832,0,03/07/2022,2248,19021900,Real Thai Rice Stick 5mm 375 gm,177.68,6.0%,10.66,6.0%,10.66,-,-,-,-,-,-,27,PC,1,199.0,Cash
1269,,,4122010832,0,03/07/2022,2248,19053100,Meiji  Hello Panda Biscuit Doubble Chocolate Filling 57 gm,84.76,9.0%,7.62,9.0%,7.62,-,-,-,-,-,-,27,PC,1,100.0,Cash
1270,,,4122010832,0,03/07/2022,2248,1902,Top Ramen  Super Noodles - Masala 280 Gm Pouch,47.34,6.0%,2.83,6.0%,2.83,-,-,-,-,-,-,27,PC,1,53.0,Cash
1271,,,4122010832,0,03/07/2022,2248,,Hershey,35,0.0%,0,0.0%,0,-,-,-,-,-,-,27,PC,1,35.0,Cash
1272,,,4122010832,0,03/07/2022,2248,,Sakura,225,0.0%,0,0.0%,0,-,-,-,-,-,-,27,PC,1,225.0,Cash
1273,,,4122010832,0,03/07/2022,2248,21039030,Cremica Piri Piri Sauce 400 gm,133.94,6.0%,8.03,6.0%,8.03,-,-,-,-,-,-,27,PC,1,150.0,Cash
1274,,,4122010832,0,03/07/2022,2248,210690,Ramjee Corn Crackers 80 gm,23.82,2.5%,0.59,2.5%,0.59,-,-,-,-,-,-,27,PC,1,25.0,Cash
1275,,,4122010832,0,03/07/2022,2248,9099,Ever Green Wheel Masala 80 Gm,26.8,6.0%,1.6,6.0%,1.6,-,-,-,-,-,-,27,PC,1,30.0,Cash
1276,,,4122010832,0,03/07/2022,2248,,Fiesta Pineapple Roll,70,0.0%,0,0.0%,0,-,-,-,-,-,-,27,PC,1,70.0,Cash
1277,,,4122010832,0,03/07/2022,2248,,Kettle Lime & Chili,180,0.0%,0,0.0%,0,-,-,-,-,-,-,27,PC,1,180.0,Cash
1278,,,4122010832,0,03/07/2022,2248,,Cheesy Spreas & Dressing,42,0.0%,0,0.0%,0,-,-,-,-,-,-,27,PC,1,42.0,Cash
1279,,,4122010832,0,03/07/2022,2248,,PB Anar,80.36,6.0%,4.82,6.0%,4.82,-,-,-,-,-,-,27,PC,2,45.0,Cash
1280,,,4122010832,0,03/07/2022,2248,,Mai Masala Wang,80,0.0%,0,0.0%,0,-,-,-,-,-,-,27,PC,1,80.0,Cash
1281,,,4122010832,0,03/07/2022,2248,,meiji,100,0.0%,0,0.0%,0,-,-,-,-,-,-,27,PC,1,100.0,Cash
1282,,,4122010833,0,03/07/2022,628,1806,Chocalate M&m 45g,67.8,9.0%,6.1,9.0%,6.1,-,-,-,-,-,-,27,PC,1,80.0,Cash
1283,,,4122010833,0,03/07/2022,628,,Samyang Chewy Chewy Sutah Ramen 120 Gm,348.22,6.0%,20.89,6.0%,20.89,-,-,-,-,-,-,27,PC,3,130.0,Cash
1284,,,4122010833,0,03/07/2022,628,,Maagic Pops,20,0.0%,0,0.0%,0,-,-,-,-,-,-,27,PC,2,10.0,Cash
1285,,,4122010833,0,03/07/2022,628,,Artisna Strawberry Juice,123.22,6.0%,7.39,6.0%,7.39,-,-,-,-,-,-,27,PC,2,69.0,Cash
1286,,,4122010834,0,03/07/2022,1308,,Kitchen sence Fridge bag,129,0.0%,0,0.0%,0,-,-,-,-,-,-,27,PC,1,129.0,Cash
1287,,,4122010834,0,03/07/2022,1308,220210,Almond Fresh\Vanila\Tpk 200 Ml- 24,59.34,9.0%,5.33,9.0%,5.33,-,-,-,-,-,-,27,PC,1,70.0,Cash
1288,,,4122010834,0,03/07/2022,1308,1806,Jb Choc Coin 68 Gm Plpch Gold [Mouldd],93.24,9.0%,8.38,9.0%,8.38,-,-,-,-,-,-,27,PC,1,110.0,Cash
1289,,,4122010834,0,03/07/2022,1308,3304,Cadbury Dairy Milk Champion’S Pack 130G,84.76,9.0%,7.62,9.0%,7.62,-,-,-,-,-,-,27,PC,1,100.0,Cash
1290,,,4122010834,0,03/07/2022,1308,210690,Sumeru Veg Spring Rolls,106.26,6.0%,6.37,6.0%,6.37,-,-,-,-,-,-,27,PC,1,119.0,Cash
1291,,,4122010834,0,03/07/2022,1308,21039030,Cremica Sandwich Spread Piri Piri,187.5,6.0%,11.25,6.0%,11.25,-,-,-,-,-,-,27,PC,2,105.0,Cash
1292,,,4122010834,0,03/07/2022,1308,0710,Mccain French Fries 540 Gms,93.76,6.0%,5.62,6.0%,5.62,-,-,-,-,-,-,27,PC,1,105.0,Cash
1293,,,4122010834,0,03/07/2022,1308,0710,Mccain Smiles 450 Gms,111.62,6.0%,6.69,6.0%,6.69,-,-,-,-,-,-,27,PC,1,125.0,Cash
1294,,,4122010834,0,03/07/2022,1308,,paan bahar,300,0.0%,0,0.0%,0,-,-,-,-,-,-,27,PC,2,150.0,Cash
1295,,,4122010834,0,03/07/2022,1308,,Ever Green Cheese Ball 100 Gm,35.72,6.0%,2.14,6.0%,2.14,-,-,-,-,-,-,27,PC,1,40.0,Cash
1296,,,4122010835,0,03/07/2022,409,,Monster,199,0.0%,0,0.0%,0,-,-,-,-,-,-,27,PC,1,199.0,Cash
1297,,,4122010835,0,03/07/2022,409,18062000,Morde Dark chocolate 400gm ch45,177.98,9.0%,16.01,9.0%,16.01,-,-,-,-,-,-,27,PC,1,210.0,Cash
1298,,,4122010836,0,03/07/2022,80,220210,Coca-Cola 750Ml,57.17,14.0%,7.99,14.0%,7.99,-,-,12.0%,6.85,-,-,27,PC,2,40.0,Cash
1299,,,4122010837,0,03/07/2022,10,2105,Kwality Walls Feast Choco Bar Mini 30G,8.48,9.0%,0.76,9.0%,0.76,-,-,-,-,-,-,27,PC,1,10.0,Cash
1300,,,4122010838,0,03/07/2022,110,,pocky,110,0.0%,0,0.0%,0,-,-,-,-,-,-,27,PC,1,110.0,Cash
1301,,,4122010839,0,03/07/2022,359,,Carry Bag,30,0.0%,0,0.0%,0,-,-,-,-,-,-,27,PC,1,30.0,Cash
1302,,,4122010839,0,03/07/2022,359,,pocky,110,0.0%,0,0.0%,0,-,-,-,-,-,-,27,PC,1,110.0,Cash
1303,,,4122010839,0,03/07/2022,359,,Knorr Noodles,65,0.0%,0,0.0%,0,-,-,-,-,-,-,27,PC,1,65.0,Cash
1304,,,4122010839,0,03/07/2022,359,2106,SNAPIN CINNAMON POWDER 40g,83.9,9.0%,7.55,9.0%,7.55,-,-,-,-,-,-,27,PC,1,99.0,Cash
1305,,,4122010839,0,03/07/2022,359,210690,Lite-N-Fit [Extsnk] 200 Gm Plpch Roasted Wheat Puff,49.12,6.0%,2.94,6.0%,2.94,-,-,-,-,-,-,27,PC,1,55.0,Cash
1306,,,4122010840,0,03/07/2022,398,,Nongshim Red Super Spicy 120 Gm,97.34,6.0%,5.83,6.0%,5.83,-,-,-,-,-,-,27,PC,1,109.0,Cash
1307,,,4122010840,0,03/07/2022,398,,Samyang 3x spicy 350gm,133.94,6.0%,8.03,6.0%,8.03,-,-,-,-,-,-,27,PC,1,150.0,Cash
1308,,,4122010840,0,03/07/2022,398,,Max Protein,40,0.0%,0,0.0%,0,-,-,-,-,-,-,27,PC,1,40.0,Cash
1309,,,4122010840,0,03/07/2022,398,2103, Wingreens Chipotle Sauce 100 gm,88.4,6.0%,5.3,6.0%,5.3,-,-,-,-,-,-,27,PC,1,99.0,Cash
1310,,Dunzo,4122010841,0,03/07/2022,1405,1902,Samyang Raman Kimchi Noodle 120 gm,223.22,6.0%,13.39,6.0%,13.39,-,-,-,-,-,-,27,PC,2,125.0,Cash
1311,,Dunzo,4122010841,0,03/07/2022,1405,,Samyang Cheese Hot Chicken Ramen Noodle 140 gm,223.22,6.0%,13.39,6.0%,13.39,-,-,-,-,-,-,27,PC,2,125.0,Cash
1312,,Dunzo,4122010841,0,03/07/2022,1405,,Samyang Hot Chicken Ramen Jjajang 140 Gm,223.22,6.0%,13.39,6.0%,13.39,-,-,-,-,-,-,27,PC,2,125.0,Cash
1313,,Dunzo,4122010841,0,03/07/2022,1405,0710, Gadre masala seer Fish Steak 150gm,196.44,6.0%,11.78,6.0%,11.78,-,-,-,-,-,-,27,PC,1,220.0,Cash
1314,,Dunzo,4122010841,0,03/07/2022,1405,,Gadre Spicy Fish Finngers,165.18,6.0%,9.91,6.0%,9.91,-,-,-,-,-,-,27,PC,1,185.0,Cash
1315,,Dunzo,4122010841,0,03/07/2022,1405,,Samyang Carbonara noodles,250,0.0%,0,0.0%,0,-,-,-,-,-,-,27,PC,2,125.0,Cash
1316,,Dunzo,4122010842,0,03/07/2022,380,,Fruit & Vegetables,160,0.0%,0,0.0%,0,-,-,-,-,-,-,27,PC,1,160.0,Cash
1317,,Dunzo,4122010842,0,03/07/2022,380,,Shreenath Romain Green Lettuce ,60,0.0%,0,0.0%,0,-,-,-,-,-,-,27,PC,1,60.0,Cash
1318,,Dunzo,4122010842,0,03/07/2022,380,,Shreenath Celery ,80,0.0%,0,0.0%,0,-,-,-,-,-,-,27,PC,1,80.0,Cash
1319,,Dunzo,4122010842,0,03/07/2022,380,,4700 BC Microwave Cheese Popcorn,71.44,6.0%,4.28,6.0%,4.28,-,-,-,-,-,-,27,PC,1,80.0,Cash
1320,,Dunzo,4122010843,0,03/07/2022,429,1905,Fiesta kulcha,25,0.0%,0,0.0%,0,-,-,-,-,-,-,27,PC,1,25.0,Cash
1321,,Dunzo,4122010843,0,03/07/2022,429,,Ladi pav ,24,0.0%,0,0.0%,0,-,-,-,-,-,-,27,PC,1,24.0,Cash
1322,,Dunzo,4122010843,0,03/07/2022,429,0710,Yummiez Veg Cheese Fingers 400 Gm,205.36,6.0%,12.32,6.0%,12.32,-,-,-,-,-,-,27,PC,1,230.0,Cash
1323,,Dunzo,4122010843,0,03/07/2022,429,69099,SPT Soya Chaap 500 Gm,142.86,2.5%,3.57,2.5%,3.57,-,-,-,-,-,-,27,PC,1,150.0,Cash
1324,,,4122010844,0,03/07/2022,190,17041000,Fusen gum,44.66,6.0%,2.67,6.0%,2.67,-,-,-,-,-,-,27,PC,5,10.0,Cash
1325,,,4122010844,0,03/07/2022,190,,smit & jones,100,0.0%,0,0.0%,0,-,-,-,-,-,-,27,PC,5,20.0,Cash
1326,,,4122010844,0,03/07/2022,190,,Pasta Mix,40,0.0%,0,0.0%,0,-,-,-,-,-,-,27,PC,1,40.0,Cash
1327,,,4122010845,0,03/07/2022,225,,Swadist bite,80,0.0%,0,0.0%,0,-,-,-,-,-,-,27,PC,1,80.0,Cash
1328,,,4122010845,0,03/07/2022,225,,Zubi Candy Watermelin Tang,71.44,6.0%,4.28,6.0%,4.28,-,-,-,-,-,-,27,PC,2,40.0,Cash
1329,,,4122010845,0,03/07/2022,225,210690,Cornitos Nacho Crisps - Tangy Masala 60 Gm Pouch,31.26,6.0%,1.87,6.0%,1.87,-,-,-,-,-,-,27,PC,1,35.0,Cash
1330,,,4122010845,0,03/07/2022,225,17049020,Zubi Lollies 30 gm,26.8,6.0%,1.6,6.0%,1.6,-,-,-,-,-,-,27,PC,1,30.0,Cash
1331,,,4122010846,0,03/07/2022,429,,Mars,38.14,9.0%,3.43,9.0%,3.43,-,-,-,-,-,-,27,PC,1,45.0,Cash
1332,,,4122010846,0,03/07/2022,429,,shin ramyun,129,0.0%,0,0.0%,0,-,-,-,-,-,-,27,PC,1,129.0,Cash
1333,,,4122010846,0,03/07/2022,429,19023090,Samyang Hot Chicken Ramen Spicy Black 140 Gm,133.94,6.0%,8.03,6.0%,8.03,-,-,-,-,-,-,27,PC,1,150.0,Cash
1334,,,4122010846,0,03/07/2022,429,,This ,30,0.0%,0,0.0%,0,-,-,-,-,-,-,27,PC,3,10.0,Cash
1335,,,4122010846,0,03/07/2022,429,,Continental Hazelnut,20,0.0%,0,0.0%,0,-,-,-,-,-,-,27,PC,1,20.0,Cash
1336,,,4122010846,0,03/07/2022,429,,This is Creamy coffee,10,0.0%,0,0.0%,0,-,-,-,-,-,-,27,PC,1,10.0,Cash
1337,,,4122010846,0,03/07/2022,429,1704,Kala namak,45,0.0%,0,0.0%,0,-,-,-,-,-,-,27,PC,1,45.0,Cash
1338,,,4122010847,0,03/07/2022,530,,Fruit & Vegetables,345,0.0%,0,0.0%,0,-,-,-,-,-,-,27,PC,1,345.0,Cash
1339,,,4122010847,0,03/07/2022,530,2104,Chings Secret Instant Soup Mix Veg 15G,8.48,9.0%,0.76,9.0%,0.76,-,-,-,-,-,-,27,PC,1,10.0,Cash
1340,,,4122010847,0,03/07/2022,530,210690,Weikfield 250 Gm Cdbox Ultra Moist Cake Mix Chocolate,102.68,6.0%,6.16,6.0%,6.16,-,-,-,-,-,-,27,PC,1,115.0,Cash
1341,,,4122010847,0,03/07/2022,530,,Dilly Wafer Roll,60,0.0%,0,0.0%,0,-,-,-,-,-,-,27,PC,1,60.0,Cash
1342,,,4122010848,0,03/07/2022,930,0802,Frubee Almond 100gm,120.54,6.0%,7.23,6.0%,7.23,-,-,-,-,-,-,27,PC,1,135.0,Cash
1343,,,4122010848,0,03/07/2022,930,2008,Frubee Salted Cashews,166.68,2.5%,4.16,2.5%,4.16,-,-,-,-,-,-,27,PC,1,175.0,Cash
1344,,,4122010848,0,03/07/2022,930,2017,Frubee Salted Pista 125 gm,178.58,6.0%,10.71,6.0%,10.71,-,-,-,-,-,-,27,PC,1,200.0,Cash
1345,,,4122010848,0,03/07/2022,930,,Ovaltine,320,0.0%,0,0.0%,0,-,-,-,-,-,-,27,PC,1,320.0,Cash
1346,,,4122010848,0,03/07/2022,930,19053100,Meji Yan Yan Straberry 57 gm,84.76,9.0%,7.62,9.0%,7.62,-,-,-,-,-,-,27,PC,1,100.0,Cash
1347,,,4122010849,0,03/07/2022,1374,, Carry Bag Small,30,0.0%,0,0.0%,0,-,-,-,-,-,-,27,PC,1,30.0,Cash
1348,,,4122010849,0,03/07/2022,1374,,Dough Magic Pizza Base 8 Inch,55,0.0%,0,0.0%,0,-,-,-,-,-,-,27,PC,1,55.0,Cash
1349,,,4122010849,0,03/07/2022,1374,,My Potato,120,0.0%,0,0.0%,0,-,-,-,-,-,-,27,PC,1,120.0,Cash
1350,,,4122010849,0,03/07/2022,1374,,Swadist bite,50,0.0%,0,0.0%,0,-,-,-,-,-,-,27,PC,1,50.0,Cash
1351,,,4122010849,0,03/07/2022,1374,,Red Velvet Cup Cake,80,0.0%,0,0.0%,0,-,-,-,-,-,-,27,PC,1,80.0,Cash
1352,,,4122010849,0,03/07/2022,1374,,bonny fruit ,185,0.0%,0,0.0%,0,-,-,-,-,-,-,27,PC,1,185.0,Cash
1353,,,4122010849,0,03/07/2022,1374,,Tong Garden Thai Chilli Coted Peanut 50 Gm,26.8,6.0%,1.6,6.0%,1.6,-,-,-,-,-,-,27,PC,1,30.0,Cash
1354,,,4122010849,0,03/07/2022,1374,20081100,Tong Garden Salted Peanuts 42g,26.8,6.0%,1.6,6.0%,1.6,-,-,-,-,-,-,27,PC,1,30.0,Cash
1355,,,4122010849,0,03/07/2022,1374,,TONG GARDEN COCONUT FLAVER COAT PEAN 60G,30,0.0%,0,0.0%,0,-,-,-,-,-,-,27,PC,1,30.0,Cash
1356,,,4122010849,0,03/07/2022,1374,210690,Tong Garden Salted Cashew Nuts 160gm,290.18,6.0%,17.41,6.0%,17.41,-,-,-,-,-,-,27,PC,1,325.0,Cash
1357,,,4122010849,0,03/07/2022,1374,20081990,Tong Garden Party Snack 40 gm,26.8,6.0%,1.6,6.0%,1.6,-,-,-,-,-,-,27,PC,1,30.0,Cash
1358,,,4122010849,0,03/07/2022,1374,,Hershys Exotic Dark Pomegranate Chocolate 33 Gm,46.62,9.0%,4.19,9.0%,4.19,-,-,-,-,-,-,27,PC,1,55.0,Cash
1359,,,4122010849,0,03/07/2022,1374,1006,Pro Nature Organic Beaten Rice  500G,35,0.0%,0,0.0%,0,-,-,-,-,-,-,27,PC,1,35.0,Cash
1360,,,4122010849,0,03/07/2022,1374,0804,Cornitos Pop N Crunch Premium Salted Peanut150Gm,95.24,2.5%,2.38,2.5%,2.38,-,-,-,-,-,-,27,PC,1,100.0,Cash
1361,,,4122010849,0,03/07/2022,1374,,Egg Curry ,70,0.0%,0,0.0%,0,-,-,-,-,-,-,27,PC,1,70.0,Cash
1362,,,4122010849,0,03/07/2022,1374,,Cropino Chilly Garlic Sauce,126.28,9.0%,11.36,9.0%,11.36,-,-,-,-,-,-,27,PC,1,149.0,Cash
1363,,,4122010850,0,03/07/2022,22.5,19059020,Dukes Waffy Vanilla 75Gms,19.08,9.0%,1.71,9.0%,1.71,-,-,-,-,-,-,27,PC,1,22.5,Cash
1364,,,4122010851,0,03/07/2022,1282,,Face Cream,175,0.0%,0,0.0%,0,-,-,-,-,-,-,27,PC,1,175.0,Cash
1365,,,4122010851,0,03/07/2022,1282,,Body Lotion,349,0.0%,0,0.0%,0,-,-,-,-,-,-,27,PC,1,349.0,Cash
1366,,,4122010851,0,03/07/2022,1282,,Hubba Bubba Fabcy Fruit,199,0.0%,0,0.0%,0,-,-,-,-,-,-,27,PC,1,199.0,Cash
1367,,,4122010851,0,03/07/2022,1282,,Hubba bubba Snappy Strawberry 55 g,460,0.0%,0,0.0%,0,-,-,-,-,-,-,27,PC,2,230.0,Cash
1368,,,4122010851,0,03/07/2022,1282,, Phaner Chocolate pie minis (12pc),83.9,9.0%,7.55,9.0%,7.55,-,-,-,-,-,-,27,PC,1,99.0,Cash
1369,,Dunzo,4122010852,0,03/07/2022,225,,Samvang Hot Chicken Carbo Ramen 130 gm,111.62,6.0%,6.69,6.0%,6.69,-,-,-,-,-,-,27,PC,1,125.0,Cash
1370,,Dunzo,4122010852,0,03/07/2022,225,1902,Koka Signature Pepper Crab Flavor Instant Noodles 85G,44.66,6.0%,2.67,6.0%,2.67,-,-,-,-,-,-,27,PC,1,50.0,Cash
1371,,Dunzo,4122010852,0,03/07/2022,225,1902,Koka Instant Laksa Singapura Nodles 85Gm,44.66,6.0%,2.67,6.0%,2.67,-,-,-,-,-,-,27,PC,1,50.0,Cash
1372,,,4122010853,0,03/07/2022,55,,mixed fruit,20,0.0%,0,0.0%,0,-,-,-,-,-,-,27,PC,1,20.0,Cash
1373,,,4122010853,0,03/07/2022,55,22029030,PB Aamras Drink 250 Ml,31.26,6.0%,1.87,6.0%,1.87,-,-,-,-,-,-,27,PC,1,35.0,Cash
1374,,,4122010854,0,03/07/2022,355,,My Potato,120,0.0%,0,0.0%,0,-,-,-,-,-,-,27,PC,1,120.0,Cash
1375,,,4122010854,0,03/07/2022,355,,712190830380,75,0.0%,0,0.0%,0,-,-,-,-,-,-,27,PC,1,75.0,Cash
1376,,,4122010854,0,03/07/2022,355,,Swadist bite,80,0.0%,0,0.0%,0,-,-,-,-,-,-,27,PC,1,80.0,Cash
1377,,,4122010854,0,03/07/2022,355,,Red Velvet Cup Cake,80,0.0%,0,0.0%,0,-,-,-,-,-,-,27,PC,1,80.0,Cash
1378,,,4122010855,0,03/07/2022,1463,,Nutella & Go,225,0.0%,0,0.0%,0,-,-,-,-,-,-,27,PC,1,225.0,Cash
1379,,,4122010855,0,03/07/2022,1463,,haribo marshmellows,199,0.0%,0,0.0%,0,-,-,-,-,-,-,27,PC,1,199.0,Cash
1380,,,4122010855,0,03/07/2022,1463,17041000,Fusen gum,44.66,6.0%,2.67,6.0%,2.67,-,-,-,-,-,-,27,PC,5,10.0,Cash
1381,,,4122010855,0,03/07/2022,1463,1806,Lindt Swiss Classic Hazelnut 100gm,296.62,9.0%,26.69,9.0%,26.69,-,-,-,-,-,-,27,PC,1,350.0,Cash
1382,,,4122010855,0,03/07/2022,1463,,Haribo,250,0.0%,0,0.0%,0,-,-,-,-,-,-,27,PC,1,250.0,Cash
1383,,,4122010855,0,03/07/2022,1463,,Hersheys kisses Milk Chocolate 108gm,118.66,9.0%,10.67,9.0%,10.67,-,-,-,-,-,-,27,PC,1,140.0,Cash
1384,,,4122010855,0,03/07/2022,1463,2103,wingreens cheesy jalapeno sauce 130g,88.4,6.0%,5.3,6.0%,5.3,-,-,-,-,-,-,27,PC,1,99.0,Cash
1385,,,4122010855,0,03/07/2022,1463,,The Theatre Butter Popcorn,44.66,6.0%,2.67,6.0%,2.67,-,-,-,-,-,-,27,PC,1,50.0,Cash
1386,,,4122010855,0,03/07/2022,1463,,Theatre Piri Piri & Lime 64 Gm Popcorn,44.66,6.0%,2.67,6.0%,2.67,-,-,-,-,-,-,27,PC,1,50.0,Cash
1387,,,4122010855,0,03/07/2022,1463,,The Theatre Jalapeno & Cream Cheese Potato chips,44.66,6.0%,2.67,6.0%,2.67,-,-,-,-,-,-,27,PC,1,50.0,Cash
1388,,,4122010856,0,03/07/2022,100,22029030,Schweppes Ginger Ale Can 300Ml Pack Of 2,71.45,14.0%,9.99,14.0%,9.99,-,-,12.0%,8.57,-,-,27,PC,2,50.0,Cash
1389,,,4122010857,0,03/07/2022,154,210690,Veeba Cruchy Peanut Butter 340 Gm,137.5,6.0%,8.25,6.0%,8.25,-,-,-,-,-,-,27,PC,1,154.0,Cash
1390,,,4122010858,0,03/07/2022,180,,cucumber green 500gm,31,0.0%,0,0.0%,0,-,-,-,-,-,-,27,PC,1,31.0,Cash
1391,,,4122010858,0,03/07/2022,180,,Veeba Tomato Ketchup,133.04,6.0%,7.98,6.0%,7.98,-,-,-,-,-,-,27,PC,1,149.0,Cash
1392,,,4122010859,0,03/07/2022,42.5,,Magic Pops,8.5,0.0%,0,0.0%,0,-,-,-,-,-,-,27,PC,1,10.0,Cash
1393,,,4122010859,0,03/07/2022,42.5,,Rite Bite Max Protin Choco Chips Cookies,28.82,9.0%,2.59,9.0%,2.59,-,-,-,-,-,-,27,PC,1,40.0,Cash
1394,,,4122010860,0,03/07/2022,529,19023090,Samyang 2X Spicy Hot Chicken Flavor Ramen 140 Gm,133.94,6.0%,8.03,6.0%,8.03,-,-,-,-,-,-,27,PC,1,150.0,Cash
1395,,,4122010860,0,03/07/2022,529,2013,Koka [Ruchi Intl] [Insndl] 85 Gm Plpch Prawn Flavour,71.44,6.0%,4.28,6.0%,4.28,-,-,-,-,-,-,27,PC,2,40.0,Cash
1396,,,4122010860,0,03/07/2022,529,1902,Koka Chicken Flavor Instant Noodles 85G,44.66,6.0%,2.67,6.0%,2.67,-,-,-,-,-,-,27,PC,1,50.0,Cash
1397,,,4122010860,0,03/07/2022,529,,Pepsi,129,0.0%,0,0.0%,0,-,-,-,-,-,-,27,PC,1,129.0,Cash
1398,,,4122010860,0,03/07/2022,529,,coca cola vanilla,120,0.0%,0,0.0%,0,-,-,-,-,-,-,27,PC,1,120.0,Cash
1399,,,4122010861,0,03/07/2022,859,,Park Aveneue,199,0.0%,0,0.0%,0,-,-,-,-,-,-,27,PC,1,199.0,Cash
1400,,,4122010861,0,03/07/2022,859,2007,St.Dalfour France Cranberry With Bluebeey Jam Conserve 284G,312.5,6.0%,18.75,6.0%,18.75,-,-,-,-,-,-,27,PC,1,350.0,Cash
1401,,,4122010861,0,03/07/2022,859,0402, Sofit Soya Milk Sugar free 200ml,31.26,6.0%,1.87,6.0%,1.87,-,-,-,-,-,-,27,PC,1,35.0,Cash
1402,,,4122010861,0,03/07/2022,859,,Hersheys Cookies & Cream ,35,0.0%,0,0.0%,0,-,-,-,-,-,-,27,PC,1,35.0,Cash
1403,,,4122010861,0,03/07/2022,859,,SE Cambridge Green Tea Lime Lemongrass -Spa,71.44,2.5%,1.78,2.5%,1.78,-,-,-,-,-,-,27,PC,1,75.0,Cash
1404,,,4122010861,0,03/07/2022,859,20071000,Pintola Natural Peanut Butter Creamy 350gm,147.34,6.0%,8.83,6.0%,8.83,-,-,-,-,-,-,27,PC,1,165.0,Cash
1405,,,4122010862,0,03/07/2022,430,,pocky,110,0.0%,0,0.0%,0,-,-,-,-,-,-,27,PC,1,110.0,Cash
1406,,,4122010862,0,03/07/2022,430,,spice drop blends & brews,200,0.0%,0,0.0%,0,-,-,-,-,-,-,27,PC,1,200.0,Cash
1407,,,4122010862,0,03/07/2022,430,,Fanta Laici & Lychee,120,0.0%,0,0.0%,0,-,-,-,-,-,-,27,PC,1,120.0,Cash
1408,,,4122010863,0,03/07/2022,200,33019029,Spice Drop Lemongrass Ginger 5 ml,169.5,9.0%,15.25,9.0%,15.25,-,-,-,-,-,-,27,PC,1,200.0,Cash
1409,,,4122010864,0,03/07/2022,295,21069099, Orbit Chewing Gum - Mixed Fruit Sugarfree 22 Am,84.76,9.0%,7.62,9.0%,7.62,-,-,-,-,-,-,27,PC,2,50.0,Cash
1410,,,4122010864,0,03/07/2022,295,0403,Milky Mist Farm Fresh Curd 400 Gms,58.04,6.0%,3.48,6.0%,3.48,-,-,-,-,-,-,27,PC,1,65.0,Cash
