,,,,,,,,,,,SalesReport,,,,,,,,,,,,,
,,,No of Invoices,,No of Recipients for Invoices,Total Invoice Value,,,Total Taxable Value for Invoices,,Total SGST/UTGST for Invoices,,Total CGST for Invoices,,Total IGST for Invoices,,Total CESS for Invoices,,Total Additional CESS for Invoices,,,,,
,,,2517,,3,1033947.87,,,964198.06,,34610.81,,34610.81,,0,,528.04,,0.15,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,No of Memo,,No of Recipient for Memo,Total Memo Value,,,Total Taxable Val for Memo,,Total SGST/UTGST for Memo,,Total CGST for Memo,,Total IGST for Memo,,Total CESS for Memo,,Total Additional CESS for Memo,,,,,
,,,0,,0,0,,,0,,0,,0,,0,,0,,0,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
Sl no.,GSTIN/UIN of Customer,Name of the Customer,Invoice No.,Is Memo,Invoice Date,Invoice Val,HSN,Product Name,Taxable Val,SGST/UTGST Rate,SGST/UTGST(Rs), CGST Rate,CGST(Rs),IGST Rate,IGST(Rs),CESS Rate,CESS(Rs),ADDITIONAL CESS Rate,ADDITIONAL CESS(Rs),Pos(State Code),UOM,QTY,RATE,Payment Mode
27,,,4121022488,0,01-02-2022,1934,,Jelly Lollypop,40,0.00%,0,0.00%,0,-,-,-,-,-,-,27,PC,1,40,Cash
28,,,4121022488,0,01-02-2022,1934,, Carry Bag Small,30,0.00%,0,0.00%,0,-,-,-,-,-,-,27,PC,1,30,Cash
29,,,4121022488,0,01-02-2022,1934,2102,Nerds Cherry & Watermelon,147.34,6.00%,8.83,6.00%,8.83,-,-,-,-,-,-,27,PC,1,165,Cash
30,,,4121022488,0,01-02-2022,1934,,icebreakers,230,0.00%,0,0.00%,0,-,-,-,-,-,-,27,PC,1,230,Cash
31,,,4121022488,0,01-02-2022,1934,,Shreenath Iceberg Lettuce ,30,0.00%,0,0.00%,0,-,-,-,-,-,-,27,PC,1,30,Cash
32,,,4121022488,0,01-02-2022,1934,1704,Impact Ice Mint,214.3,6.00%,12.85,6.00%,12.85,-,-,-,-,-,-,27,PC,2,120,Cash
33,,,4121022488,0,01-02-2022,1934,1004,Nature Vallry Crunchy 49G Oats Honey,57.16,2.50%,1.42,2.50%,1.42,-,-,-,-,-,-,27,PC,1,60,Cash
34,,,4121022488,0,01-02-2022,1934,,Zazzy,30,0.00%,0,0.00%,0,-,-,-,-,-,-,27,PC,1,30,Cash
35,,,4121022488,0,01-02-2022,1934,17049090,Sour Punk Cola 40 gm,26.8,6.00%,1.6,6.00%,1.6,-,-,-,-,-,-,27,PC,1,30,Cash
36,,,4121022488,0,01-02-2022,1934,,Skittels Orignal,89.3,6.00%,5.35,6.00%,5.35,-,-,-,-,-,-,27,PC,1,100,Cash
37,,,4121022488,0,01-02-2022,1934,1704,Skittles Wild Berry 33.6 gm,44.66,6.00%,2.67,6.00%,2.67,-,-,-,-,-,-,27,PC,1,50,Cash
38,,,4121022488,0,01-02-2022,1934,813,Habit Black Olives,178.58,6.00%,10.71,6.00%,10.71,-,-,-,-,-,-,27,PC,1,200,Cash
